name,date,score,market_value,market_value_norm,score_norm,performance
Christian Fassnacht,2012-11-18,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2012-11-25,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2012-12-02,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2012-12-09,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2012-12-16,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2012-12-23,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2012-12-30,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-01-06,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-01-13,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-01-20,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-01-27,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-02-03,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-02-10,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-02-17,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-02-24,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-03-03,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-03-10,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-03-17,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-03-24,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-03-31,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-04-07,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-04-14,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-04-21,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-04-28,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-05-05,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-05-12,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-05-19,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-05-26,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-06-02,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-06-09,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-06-16,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-06-23,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-06-30,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-07-07,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-07-14,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-07-21,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-07-28,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-08-04,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-08-11,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-08-18,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-08-25,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-09-01,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-09-08,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-09-15,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-09-22,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-09-29,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-10-06,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-10-13,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-10-20,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-10-27,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-11-03,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-11-10,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-11-17,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-11-24,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-12-01,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-12-08,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-12-15,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-12-22,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2013-12-29,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-01-05,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-01-12,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-01-19,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-01-26,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-02-02,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-02-09,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-02-16,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-02-23,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-03-02,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-03-09,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-03-16,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-03-23,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-03-30,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-04-06,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-04-13,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-04-20,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-04-27,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-05-04,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-05-11,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-05-18,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-05-25,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-06-01,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-06-08,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-06-15,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-06-22,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-06-29,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-07-06,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-07-13,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-07-20,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-07-27,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-08-03,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-08-10,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-08-17,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-08-24,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-08-31,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-09-07,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-09-14,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-09-21,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-09-28,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-10-05,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-10-12,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-10-19,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-10-26,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-11-02,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-11-09,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-11-16,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-11-23,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-11-30,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-12-07,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-12-14,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-12-21,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2014-12-28,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2015-01-04,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2015-01-11,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2015-01-18,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2015-01-25,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2015-02-01,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2015-02-08,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2015-02-15,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2015-02-22,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2015-03-01,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2015-03-08,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2015-03-15,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2015-03-22,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2015-03-29,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2015-04-05,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2015-04-12,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2015-04-19,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2015-04-26,0.0,110000.0,0.008695652173913044,0.08333333333333333,0.09202898550724638
Christian Fassnacht,2015-05-03,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-05-10,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-05-17,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-05-24,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-05-31,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-06-07,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-06-14,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-06-21,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-06-28,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-07-05,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-07-12,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-07-19,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-07-26,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-08-02,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-08-09,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-08-16,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-08-23,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-08-30,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-09-06,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-09-13,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-09-20,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-09-27,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-10-04,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-10-11,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-10-18,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-10-25,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-11-01,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-11-08,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-11-15,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-11-22,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-11-29,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-12-06,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-12-13,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-12-20,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2015-12-27,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2016-01-03,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2016-01-10,7.0,220000.0,0.017391304347826087,0.375,0.3923913043478261
Christian Fassnacht,2016-01-17,7.0,220000.0,0.017391304347826087,0.375,0.3923913043478261
Christian Fassnacht,2016-01-24,7.0,220000.0,0.017391304347826087,0.375,0.3923913043478261
Christian Fassnacht,2016-01-31,7.0,220000.0,0.017391304347826087,0.375,0.3923913043478261
Christian Fassnacht,2016-02-07,7.0,220000.0,0.017391304347826087,0.375,0.3923913043478261
Christian Fassnacht,2016-02-14,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
Christian Fassnacht,2016-02-21,0.0,220000.0,0.017391304347826087,0.08333333333333333,0.10072463768115941
